data1,,,,,,,,
Function,Kb,Ks,Ki,Kc,alpha,tf,b,R²
SigmoidCakeComplete Model,3.37E-05,,,0.000515393,0.00026544,7.45E-08,0.009454704,0.987200267
SigmoidCakeIntermediate Model,,,0.000345588,0.000517313,0.000265571,5.81E-09,0.008960882,0.98739763
SigmoidCompleteStandard Model,3.34E-05,4.78E-05,,,0.000256977,5.74E-12,0.009974218,0.986870137
SigmoidIntermediateStandard Model,,3.03E-05,0.000205966,,0.991501158,2562.308429,0.048058553,0.979589676
SigmoidCakeStandard Model,,0.000350165,,0.000518277,0.000265637,2.54E-09,0.008710837,0.987495402
,,,,,,,,
data2,,,,,,,,
Function,Kb,Ks,Ki,Kc,alpha,tf,b,R²
SigmoidCakeComplete Model,3.16E-05,,,0.000268926,0.000256663,5.28E-10,0.012482012,0.975501338
SigmoidCakeIntermediate Model,,,0.000324,0.000270686,0.000256839,2.49E-07,0.01201643,0.975995733
SigmoidCompleteStandard Model,3.15E-05,2.58E-05,,,0.000254275,4.74E-08,0.012639296,0.975314594
SigmoidIntermediateStandard Model,,4.25E-06,8.70E-05,,0.000832308,2129.049563,0.055472894,0.97332693
SigmoidCakeStandard Model,,0.000328209,,0.000271571,0.000256927,5.06E-10,0.01178073,0.976240273
